date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2024-02-07,0.0005213098096040388,1,0,0.0,10134.632176541343,0
2024-02-08,-0.00021527381613850594,-1,1,0.0,10119.417103441254,-0.001001795945987606
2024-02-09,0.001939205452799797,1,0,0.0,10114.357394889534,0
2024-02-12,0.001896952628158033,1,1,0.0,10121.138882599911,0.0006704813213149695
2024-02-13,0.002251282799988985,1,1,0.0,10061.801835211503,-0.0051961343292638755
2024-02-14,0.001799246994778514,1,1,0.0,10051.630250364202,-0.006201792370618238
2024-02-15,0.00039280159398913383,1,1,0.0,10070.279018208608,-0.0043580007073111176
2024-02-16,0.0003394215600565076,1,1,0.0,10068.58332292188,-0.0045256530079489056
2024-02-20,-0.0029466344664494195,-1,1,0.0,10285.526858952238,0.017432130710480654
2024-02-21,-0.0030555355673034987,-1,0,0.0,10280.384095522762,0
2024-02-22,-0.003111208245779077,-1,-1,0.0,10253.414758887995,-0.002623378308064535
2024-02-23,-0.0013158183622484405,-1,-1,0.0,10244.986961752076,-0.0034431723019086057
2024-02-26,-0.0012686566139260929,-1,-1,0.0,10327.580916883382,0.004590958948817322
2024-02-27,0.0005532616438965002,1,-1,0.0,10384.75241359519,0.010657509558790463
2024-02-28,0.0011796855251304805,1,0,0.0,10379.560037388394,0
2024-02-29,0.0010899052334328492,1,1,0.0,10322.803876500175,-0.005468070003331144
2024-03-01,0.0040161820749441786,-2,1,0.0,10233.409517351049,-0.013587402080479686
2024-03-04,0.0019338765802482765,1,0,0.0,10228.292812592374,0
2024-03-05,0.0021865981010099254,1,1,0.0,10161.709137676393,-0.006509754475742734
2024-03-06,0.003099509902919332,1,1,0.0,10166.830758431697,-0.006009023723392869
2024-03-07,-0.0012338318629190326,-1,1,0.0,10142.976588656258,-0.007845121380407202
2024-03-08,-0.00036254036240279675,-1,0,0.0,10137.90510036193,0
2024-03-11,-0.002772277221083641,-1,-1,0.0,10059.894631427442,-0.007694929885633102
2024-03-12,-0.001903750312825044,-2,-1,0.0,10010.794419063239,-0.012044182592932358
2024-03-13,-0.001517406664788723,-1,0,0.0,10005.789021853709,0
2024-03-14,-0.001185437897220254,-1,-1,0.0,10019.00264712113,0.0013205980296566572
2024-03-15,0.0006387758379181226,1,-1,0.0,10116.34501984096,0.01155498088117615
2024-03-18,0.0012081180854390066,1,0,0.0,10111.28684733104,0
2024-03-19,0.00023642547118167082,1,1,0.0,10109.607988338768,-0.00016603811340935076
2024-03-20,-0.0009757860874136289,-1,1,0.0,10191.791642277374,0.008466107359281591
2024-03-21,0.0011432191046575706,1,0,0.0,10186.695746456237,0
2024-03-22,0.0003055911899233858,1,1,0.0,10181.646367157642,-0.000495683725544762
2024-03-25,-0.00017950840992853045,0,1,0.0,10166.497587173952,-0.0019827979341889086
2024-03-26,0.0008458933637787899,1,1,0.0,10190.062213351268,0.00033047682769979495
2024-03-27,-0.00017878351112206778,0,1,0.0,10272.538404971876,0.008426938494310258
2024-03-28,-0.00038446637336164713,-1,1,0.0,10292.63769234784,0.01090548318605379
2024-04-01,0.000639498078574737,1,0,0.0,10287.491373501667,0
2024-04-02,0.00036449901138742763,1,1,0.0,10236.43695622514,-0.004962766472692416
2024-04-03,0.0009642294608056545,-2,1,0.0,10176.887835158943,-0.010256392457564253
2024-04-04,0.0026775520915786424,1,0,0.0,10171.799391241364,0
2024-04-05,0.003605790436267853,1,1,0.0,10216.434847253098,0.004388157325454905
2024-04-08,0.001039947538326184,1,1,0.0,10175.232988610225,0.0003375604685851793
2024-04-09,0.00012286178146799406,0,1,0.0,10252.48729218028,0.007932510054061181
2024-04-10,-0.0009936261922121048,-1,1,0.0,10110.08844398425,-0.005569651157041139
2024-04-11,0.0005163596166918675,1,0,0.0,10105.033399762258,0
2024-04-12,0.000833469753464063,-2,1,0.0,9985.1885651858,-0.011365597539801786
2024-04-15,0.0012432884347314637,1,0,0.0,9980.195970903207,0
2024-04-16,0.0010678169783204794,1,1,0.0,9947.642777276458,-0.003261778999295869
2024-04-17,-0.00032003627469142276,-1,1,0.0,10019.730109551349,0.004463490498424088
2024-04-18,0.0004497841000556946,1,0,0.0,10014.720244496573,0
2024-04-19,-0.0034912539025147757,-1,1,0.0,10190.937757607588,0.018104902241118565
2024-04-22,-0.0002092313952744007,-1,0,0.0,10185.842288728785,0
2024-04-23,-0.0008332390959064165,-1,-1,0.0,10167.331651172188,-0.0018172908073671745
2024-04-24,-0.0021678886065880456,-2,-1,0.0,10009.191970843402,-0.016851156093407083
2024-04-25,-0.0036152838729321957,-1,0,0.0,10004.18737485798,0
2024-04-26,-0.0015182798961177468,-1,-1,0.0,9973.304839535964,-0.0030869609059531156
2024-04-29,-0.0024606623531629643,-1,-1,0.0,9924.543692223699,-0.007961034679782037
2024-04-30,-0.0016281196537117164,-1,-1,0.0,9968.428910814226,-0.0035743496901728252
2024-05-01,0.00027201448877652484,1,-1,0.0,9937.451712783453,-0.006173859834695624
2024-05-02,-0.00036294923241560656,-1,0,0.0,9932.482986927062,0
2024-05-03,9.604326138893764e-05,0,-1,0.0,9903.642657342018,-0.0029036374512801514
2024-05-06,0.0006399203945572177,1,-1,0.0,9869.864315680528,-0.005807336439859259
2024-05-07,-0.0010279736792047818,-1,0,0.0,9864.929383522689,0
2024-05-08,-0.0010498463331411283,-1,-1,0.0,9864.929383522689,-0.0
2024-05-09,0.0001659177845188727,0,-1,0.0,9860.220179413534,-0.000477368253342033
2024-05-10,0.0001941033018132051,0,-1,0.0,9800.575849072868,-0.006523466306541432
2024-05-13,0.0009054242012401422,-2,-1,0.0,9745.472956621681,-0.011615009938849521
2024-05-14,-0.0004924518677095572,-1,0,0.0,9740.600220143371,0
