date,pred_momentum,signal,trade_return,portfolio_value
2024-06-25,0.006118270102888346,1,0.0,10104.40781882551
2024-06-26,-0.002568362280726433,-1,-0.002805643219799753,10071.02042631076
2024-06-27,7.690535858273506e-05,0,0.002748131404263422,10093.647565360376
2024-06-28,0.0022439099848270416,1,0.0,10088.600741577697
2024-07-01,-0.0042859334498643875,-1,0.0219718220688037,10305.110549153846
2024-07-02,0.0006530433893203735,1,-0.019060885923270737,10103.631669543456
2024-07-03,0.0010857456363737583,1,0.0,10103.631669543456
2024-07-05,-0.008901378139853477,-1,0.028818250640286494,10389.60325904381
2024-07-08,0.001665762159973383,1,-0.003214632956539135,10351.026395752922
2024-07-09,0.001547476975247264,1,0.0,10351.026395752922
2024-07-10,0.0021483581513166428,1,0.0,10351.026395752922
2024-07-11,0.004200814291834831,1,0.0,10351.026395752922
2024-07-12,0.00956039596349001,1,0.0,10351.026395752922
2024-07-15,0.007807048037648201,1,0.0,10351.026395752922
2024-07-16,0.014050477184355259,1,0.0,10351.026395752922
2024-07-17,0.009667115285992622,1,0.0,10351.026395752922
2024-07-18,0.010681269690394402,1,0.0,10351.026395752922
2024-07-19,0.0072190603241324425,1,0.0,10351.026395752922
2024-07-22,0.008213788270950317,1,0.0,10351.026395752922
2024-07-23,0.004197489004582167,1,0.0,10351.026395752922
2024-07-24,0.006833380088210106,1,0.0,10351.026395752922
2024-07-25,0.012236681766808033,1,0.0,10351.026395752922
2024-07-26,0.007135043852031231,1,0.0,10351.026395752922
2024-07-29,0.009494641795754433,1,0.0,10351.026395752922
2024-07-30,4.477100446820259e-06,0,-0.04005600074650443,9931.437471880197
2024-07-31,-0.0026659108698368073,-1,0.0,9926.471753144258
2024-08-01,0.0004981812089681625,0,0.026786088325655755,10187.266920734965
2024-08-02,0.0025214259512722492,1,0.0,10182.173287274598
2024-08-05,-0.004087775945663452,-1,0.05113269436849582,10697.463834358883
2024-08-06,0.0055516064167022705,1,-0.009400840950278417,10591.600228941581
2024-08-07,0.0007427316159009933,1,0.0,10591.600228941581
2024-08-08,0.0016794353723526,1,0.0,10591.600228941581
2024-08-09,0.0020955950021743774,1,0.0,10591.600228941581
2024-08-12,0.0013001905754208565,1,0.0,10591.600228941581
2024-08-13,-0.0020019561052322388,-1,0.07069161081134927,11334.66734144022
2024-08-14,0.0045081852003932,1,-0.005213736493166857,11269.933586997904
2024-08-15,0.0037489552050828934,1,0.0,11269.933586997904
2024-08-16,-0.0006993161514401436,-1,0.0064560335224875314,11337.021309703754
2024-08-19,0.005556481424719095,1,-0.0007531373738523029,11322.818733759634
2024-08-20,0.0012266436824575067,1,0.0,11322.818733759634
2024-08-21,0.007954486645758152,1,0.0,11322.818733759634
2024-08-22,0.008306276053190231,1,0.0,11322.818733759634
2024-08-23,0.005661615636199713,1,0.0,11322.818733759634
2024-08-26,0.004018907435238361,1,0.0,11322.818733759634
2024-08-27,0.0012004938907921314,1,0.0,11322.818733759634
2024-08-28,0.0022798380814492702,1,0.0,11322.818733759634
2024-08-29,0.004400260746479034,1,0.0,11322.818733759634
2024-08-30,0.0004211822524666786,0,0.014306572597382279,11479.067057250177
2024-09-03,0.003018619492650032,1,0.0,11473.327523721553
2024-09-04,0.0012392429634928703,1,0.0,11473.327523721553
2024-09-05,0.0003598579205572605,0,0.003248179774799235,11504.839656656686
2024-09-06,0.0006620991043746471,1,0.0,11499.087236828358
2024-09-09,-0.0017334524309262633,-1,0.00040755518026263656,11498.02186252532
2024-09-10,0.002005715621635318,1,-0.005435786823312006,11429.803306257456
2024-09-11,0.00018565542995929718,0,0.005418571804671742,11485.990647927594
2024-09-12,0.0011423601536080241,1,0.0,11480.247652603632
2024-09-13,-0.0013913100119680166,-1,-0.004830493882322984,11419.079990356904
2024-09-16,-0.004272192716598511,-1,0.0,11419.079990356904
2024-09-17,0.0027438602410256863,1,-0.0011545217436791323,11400.193466008119
2024-09-18,0.000494007021188736,0,0.014433460563553312,11558.955339962215
2024-09-19,-0.010676335543394089,-1,0.0,11553.175862292233
2024-09-20,-0.002917560515925288,-1,0.0,11553.175862292233
2024-09-23,0.005283553618937731,1,0.015219303091472458,11723.142643835838
2024-09-24,0.007205343805253506,1,0.0,11723.142643835838
2024-09-25,0.010555545799434185,1,0.0,11723.142643835838
2024-09-26,0.004340214189141989,1,0.0,11723.142643835838
2024-09-27,0.0008314044680446386,1,0.0,11723.142643835838
2024-09-30,-0.004153087735176086,-1,0.01902486508055171,11940.200764029401
2024-10-01,0.006563248112797737,1,0.014421390279622394,12106.338861734885
2024-10-02,0.0014915326610207558,1,0.0,12106.338861734885
2024-10-03,-0.0019064925145357847,-1,-0.0009739809764386372,12088.500244230241
2024-10-04,-0.0035992879420518875,-1,0.0,12088.500244230241
2024-10-07,0.0011846758425235748,1,0.027248789862446863,12411.688298513842
2024-10-08,-0.007742714136838913,-1,0.006553728045932876,12486.784612649084
2024-10-09,-0.006713623180985451,-1,0.0,12486.784612649084
2024-10-10,-0.002460914198309183,-1,0.0,12486.784612649084
2024-10-11,-0.00021466193720698357,0,-0.010300607572257522,12351.984062942627
2024-10-14,-0.006720053032040596,-1,0.0,12345.808070911156
2024-10-15,-0.004764045588672161,-1,0.0,12345.808070911156
2024-10-16,-0.0012680292129516602,-1,0.0,12345.808070911156
2024-10-17,0.001022731768898666,1,0.006249831446857556,12416.75580678439
2024-10-18,-0.0019938619807362556,-1,-0.004996158490872281,12348.54236696782
2024-10-21,0.004596935119479895,1,-0.008658557499341812,12235.500991948946
2024-10-22,0.0036810238379985094,1,0.0,12235.500991948946
2024-10-23,0.002972695976495743,1,0.0,12235.500991948946
2024-10-24,0.0009780917316675186,1,0.0,12235.500991948946
2024-10-25,0.0018561199540272355,1,0.0,12235.500991948946
2024-10-28,0.005847855005413294,1,0.0,12235.500991948946
2024-10-29,0.004264010116457939,1,0.0,12235.500991948946
2024-10-30,0.0025701383128762245,1,0.0,12235.500991948946
2024-10-31,0.005905631929636002,1,0.0,12235.500991948946
2024-11-01,0.006529485806822777,1,0.0,12235.500991948946
2024-11-04,0.004489856772124767,1,0.0,12235.500991948946
2024-11-05,-0.0018476140685379505,-1,-0.04463629198718024,11683.508920264348
2024-11-06,0.0003145963419228792,0,-0.0004941404701044987,11671.896757861183
2024-11-07,-0.008775560185313225,-1,0.0,11666.060809482253
2024-11-08,-0.0009424969321116805,-1,0.0,11666.060809482253
2024-11-11,-0.0010036276653409004,-1,0.0,11666.060809482253
2024-11-12,-0.004552406258881092,-1,0.0,11666.060809482253
2024-11-13,-0.0011089658364653587,-1,0.0,11666.060809482253
2024-11-14,-0.00043908972293138504,0,-0.0046221453066629566,11606.33251197383
2024-11-15,0.004079398699104786,1,0.0,11600.529345717843
2024-11-18,-0.003293655812740326,-1,0.012297466248439238,11737.314870578932
2024-11-19,0.0009121233597397804,1,-0.005727390414256111,11664.255640557123
2024-11-20,0.002684761304408312,1,0.0,11664.255640557123
2024-11-21,0.0033902274444699287,1,0.0,11664.255640557123
2024-11-22,-0.00036057503893971443,0,0.007936481685628159,11750.950377428979
2024-11-25,-0.0022773072123527527,-1,0.0,11745.074902240265
2024-11-26,-0.0020034797489643097,-1,0.0,11745.074902240265
2024-11-27,0.0032856157049536705,1,-0.006857116788661566,11658.705283168054
2024-11-29,-0.001843986101448536,-1,0.010732099564168216,11777.935755221779
2024-12-02,-0.0003554653376340866,0,-0.009777856550150316,11656.94140255586
2024-12-03,-0.003639250062406063,-1,0.0,11651.112931854583
2024-12-04,-0.0036365303676575422,-1,0.0,11651.112931854583
2024-12-05,0.0018456330290064216,1,-0.000699998458869987,11637.135692172786
2024-12-06,0.004568925593048334,1,0.0,11637.135692172786
2024-12-09,0.0017487090080976486,1,0.0,11637.135692172786
2024-12-10,0.001858217641711235,1,0.0,11637.135692172786
2024-12-11,0.003786906599998474,1,0.0,11637.135692172786
2024-12-12,2.7880538254976273e-05,0,0.020789478592195747,11873.126142681931
2024-12-13,0.00140672386623919,1,0.0,11867.189579610591
2024-12-16,-0.0002963729202747345,0,0.012298833523163136,12007.135597553719
2024-12-17,-0.00019990373402833939,0,0.0,12007.135597553719
2024-12-18,0.00082424096763134,1,0.0,12001.132029754943
2024-12-19,0.0023283250629901886,1,0.0,12001.132029754943
2024-12-20,-0.003938192501664162,-1,0.028242414333990617,12333.9029365297
2024-12-23,0.0009655184112489223,1,-0.0019625544279744758,12303.542132217053
2024-12-24,-0.004258366301655769,-1,0.010607094820152194,12427.8299467521
2024-12-26,0.0038910165894776583,1,-0.0032146348209357756,12381.685072350674
2024-12-27,0.004775857552886009,1,0.0,12381.685072350674
2024-12-30,0.005280002951622009,1,0.0,12381.685072350674
2024-12-31,0.00402592308819294,1,0.0,12381.685072350674
